,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,,
46,RT @Renovation_Tea: Check out our February #Newsletter and catch up on the latest health news and tips for leading a healthy life!  https:/…,FALSE,0,NA,3/1/2019 20:40,FALSE,NA,1.10E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",DinahQChon,7,TRUE,FALSE,NA,NA,,,
47,RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…,FALSE,0,NA,3/1/2019 20:40,FALSE,NA,1.10E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",DinahQChon,7,TRUE,FALSE,NA,NA,,,
48,"Keep your #data safe from hardware failure, accidental deletion, #virus #corruption, #theft and disaster with a BackItHere! #recovery plan!",FALSE,0,NA,3/1/2019 20:40,FALSE,NA,1.10E+18,NA,"<a href=""https://circleboom.com"" rel=""nofollow"">Circleboom</a>",BackItHere,0,FALSE,FALSE,NA,NA,,,
49,"Correct answer: Yes! Antivirals and antibiotics are different. Antibiotics fight against bacterial infections, whil… https://t.co/i5Gl9jKdip",FALSE,2,CDCFlu,3/1/2019 20:40,TRUE,1.10E+18,1.10E+18,16616061,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",CDCFlu,3,FALSE,FALSE,NA,NA,,,
50,"RT @CDCgov: Sick with flu? Studies show #flu antiviral treatments work best when started within 2 days of getting sick. However, starting t…",FALSE,0,NA,3/1/2019 20:38,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DrNancyM_CDC,32,TRUE,FALSE,NA,NA,,,
51,You've been warned...  https://t.co/uBIO29ZlWh  #flu #sickday,FALSE,0,NA,3/1/2019 20:35,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",CubeShield,0,FALSE,FALSE,NA,NA,,,
52,"RT @ViraBurnayeva: #STUDY: #Thimerosal-containing Vaccines &amp; #AUTISM Risk

https://t.co/5fUqtWjJkI

#DidYouKnow that Thimerosal is still in…",FALSE,0,NA,3/1/2019 20:34,FALSE,NA,1.10E+18,NA,"<a href=""http://andrewmmorris.com/"" rel=""nofollow"">Autism_twitter</a>",andrewmorrisuk,3,TRUE,FALSE,NA,NA,,,
53,"@TheKidKidDoc 1 in 1Mil.?
x127Mil. #flu vaccine doses every year = ~127 people with injury
x8.5Mil. #MMR vaccine do… https://t.co/ctGXU9EJQO",FALSE,1,kuriousmind93,3/1/2019 20:33,TRUE,1.10E+18,1.10E+18,9.58E+17,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",kuriousmind93,0,FALSE,FALSE,NA,NA,,,
54,"RT @ViraBurnayeva: #STUDY: #Thimerosal-containing Vaccines &amp; #AUTISM Risk

https://t.co/5fUqtWjJkI

#DidYouKnow that Thimerosal is still in…",FALSE,0,NA,3/1/2019 20:33,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ViraBurnayeva,3,TRUE,FALSE,NA,NA,,,
55,"Can parents take a sick day? We know. It's a rhetorical question. 

But just in case, our new #KnowYourOTCs bloggin… https://t.co/dJPPwZFNrj",FALSE,0,NA,3/1/2019 20:33,TRUE,NA,1.10E+18,NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",KnowYourOTCs,0,FALSE,FALSE,NA,NA,,,
